CONCISE NET LIST - 1  
CLK40_I2C_SCL            IC3              22       SI5326A-C-GM-GND=GND_SIGNAL,VDA
CLK40_I2C_SCL            JB3              54       TRENZ_TE0712_JB3
CLK40_I2C_SCL            R21              1        RSMD0603_1/10W-1K,1%
CLK40_I2C_SDA            IC3              23       SI5326A-C-GM-GND=GND_SIGNAL,VDA
CLK40_I2C_SDA            JB3              52       TRENZ_TE0712_JB3
CLK40_I2C_SDA            R22              1        RSMD0603_1/10W-1K,1%
CLK40_IN                 C41              2        CAPCERSMDCL2_0603-100NF,16V
CLK40_IN                 J11              10       CON19P-HDMI-19-01-X-SM-GND=GNDA
CLK40_IN                 J12              3        CON3P-SIL254D   
CLK40_IN                 R13              1        RSMD0603_1/10W-130,1%
CLK40_IN                 R14              2        RSMD0603_1/10W-82,1%
CLK40_IN_N               C42              2        CAPCERSMDCL2_0603-100NF,16V
CLK40_IN_N               J11              12       CON19P-HDMI-19-01-X-SM-GND=GNDA
CLK40_IN_N               J12              2        CON3P-SIL254D   
CLK40_IN_N               R17              1        RSMD0603_1/10W-130,1%
CLK40_IN_N               R18              2        RSMD0603_1/10W-82,1%
CLK40_LOL                IC3              18       SI5326A-C-GM-GND=GND_SIGNAL,VDA
CLK40_LOL                JB1              92       TRENZ_TE0712_JB1
CLK40_PHASE_DEC          IC3              19       SI5326A-C-GM-GND=GND_SIGNAL,VDA
CLK40_PHASE_DEC          JB1              88       TRENZ_TE0712_JB1
CLK40_PHASE_INC          IC3              20       SI5326A-C-GM-GND=GND_SIGNAL,VDA
CLK40_PHASE_INC          JB1              86       TRENZ_TE0712_JB1
CLK40_RATE0              IC3              11       SI5326A-C-GM-GND=GND_SIGNAL,VDA
CLK40_RATE0              JB3              48       TRENZ_TE0712_JB3
CLK40_RATE0              R19              1        RSMD0603_1/10W-1K,1%
CLK40_RATE0              R20              2        RSMD0603_1/10W-1K,1%
CLK40_RATE1              IC3              15       SI5326A-C-GM-GND=GND_SIGNAL,VDA
CLK40_RATE1              JB1              98       TRENZ_TE0712_JB1
CLK40_RATE1              R15              1        RSMD0603_1/10W-1K,1%
CLK40_RATE1              R16              2        RSMD0603_1/10W-1K,1%
CLK40_RST_N              IC3              1        SI5326A-C-GM-GND=GND_SIGNAL,VDA
CLK40_RST_N              JB3              50       TRENZ_TE0712_JB3
CLK_40_FPGA              IC3              35       SI5326A-C-GM-GND=GND_SIGNAL,VDA
CLK_40_FPGA              JB3              59       TRENZ_TE0712_JB3
CLK_40_FPGA              R1               1        RSMD0603_1/10W-100,1%
CLK_40_FPGA_N            IC3              34       SI5326A-C-GM-GND=GND_SIGNAL,VDA
CLK_40_FPGA_N            JB3              57       TRENZ_TE0712_JB3
CLK_40_FPGA_N            R1               2        RSMD0603_1/10W-100,1%
CLK_40_FROM_FPGA         IC3              12       SI5326A-C-GM-GND=GND_SIGNAL,VDA
CLK_40_FROM_FPGA         JB1              32       TRENZ_TE0712_JB1
CLK_40_FROM_FPGA_N       IC3              13       SI5326A-C-GM-GND=GND_SIGNAL,VDA
CLK_40_FROM_FPGA_N       JB1              34       TRENZ_TE0712_JB1
DGND                     J6               A30      CONABC96-09 03 196 6921
DGND                     J6               B30      CONABC96-09 03 196 6921
DGND                     J6               C30      CONABC96-09 03 196 6921
EN1                      JB1              27       TRENZ_TE0712_JB1
EN1                      LK2              1        1-HOLE_1-0-BASE 
EXTERNAL_SCL             J6               C29      CONABC96-09 03 196 6921
EXTERNAL_SCL             JB1              94       TRENZ_TE0712_JB1
EXTERNAL_SCL             R12              1        RSMD0603_1/10W-1K,1%
EXTERNAL_SDA             J6               A29      CONABC96-09 03 196 6921
EXTERNAL_SDA             JB1              96       TRENZ_TE0712_JB1
EXTERNAL_SDA             R11              1        RSMD0603_1/10W-1K,1%
FPGA_TCK                 J1               6        CON14P-MOLEX_87831
FPGA_TCK                 JB2              100      TRENZ_TE0712_JB2
FPGA_TDI                 J1               10       CON14P-MOLEX_87831
FPGA_TDI                 JB2              96       TRENZ_TE0712_JB2
FPGA_TDO                 J1               8        CON14P-MOLEX_87831
FPGA_TDO                 JB2              98       TRENZ_TE0712_JB2
FPGA_TMS                 J1               4        CON14P-MOLEX_87831
FPGA_TMS                 JB2              94       TRENZ_TE0712_JB2
GND_SIGNAL               C1               1        CAPCERSMDCL2_0805-22UF_X7R,10VA
GND_SIGNAL               C10_1            1        CAPCERSMDCL2_0402-100NF,16V_GEN
GND_SIGNAL               C1_1             1        CAPCERSMDCL2_0402-100NF,16V_GEN
GND_SIGNAL               C2               1        CAPCERSMDCL2_0805-22UF_X7R,10VA
GND_SIGNAL               C3               1        CAPCERSMDCL2_0805-22UF_X7R,10VA
GND_SIGNAL               C4               1        CAPCERSMDCL2_0805-22UF_X7R,10VA
GND_SIGNAL               C5               1        CAPCERSMDCL2_0805-22UF_X7R,10VA
GND_SIGNAL               C6               1        CAPCERSMDCL2_0805-22UF_X7R,10VA
GND_SIGNAL               C7               1        CAPCERSMDCL2_0805-22UF_X7R,10VA
GND_SIGNAL               C8               1        CAPCERSMDCL2_0805-22UF_X7R,10VA
GND_SIGNAL               C9               1        CAPCERSMDCL2_0402-100NF,16V_GEN
GND_SIGNAL               C10              1        CAPCERSMDCL2_0402-100NF,16V_GEN
GND_SIGNAL               C11              1        CAPCERSMDCL2_0402-100NF,16V_GEN
GND_SIGNAL               C12              1        CAPCERSMDCL2_0805-22UF_X7R,10VA
GND_SIGNAL               C13              1        CAPCERSMDCL2_0402-100NF,16V_GEN
GND_SIGNAL               C14              1        CAPCERSMDCL2_0805-22UF_X7R,10VA
GND_SIGNAL               C15              1        CAPCERSMDCL2_0402-1UF,16V
GND_SIGNAL               C16              1        CAPCERSMDCL2_0402-1UF,16V
GND_SIGNAL               C17              1        CAPCERSMDCL2_0402-1UF,16V
GND_SIGNAL               C18              1        CAPCERSMDCL2_0402-1UF,16V
GND_SIGNAL               C19              1        CAPCERSMDCL2_0402-100NF,16V_GEN
GND_SIGNAL               C20              1        CAPCERSMDCL2_0402-1UF,16V
GND_SIGNAL               C21              1        CAPCERSMDCL2_0603-22UF,4V
GND_SIGNAL               C26              1        CAPCERSMDCL2_0402-100NF,16V_GEN
GND_SIGNAL               C27              1        CAPCERSMDCL2_0603-22UF,4V
GND_SIGNAL               C28              1        CAPCERSMDCL2_0402-1UF,16V
GND_SIGNAL               C29              1        CAPCERSMDCL2_0402-1UF,16V
GND_SIGNAL               C2_1             1        CAPCERSMDCL2_0402-100NF,16V_GEN
GND_SIGNAL               C30              1        CAPCERSMDCL2_0402-100NF,16V_GEN
GND_SIGNAL               C31              1        CAPCERSMDCL2_0402-1UF,16V
GND_SIGNAL               C32              1        CAPCERSMDCL2_0603-22UF,4V
GND_SIGNAL               C33              1        CAPCERSMDCL2_0402-100NF,16V_GEN
GND_SIGNAL               C34              1        CAPCERSMDCL2_0603-22UF,4V
GND_SIGNAL               C35              1        CAPCERSMDCL2_0603-10UF,6.3V
GND_SIGNAL               C36              1        CAPCERSMDCL2_0402-100NF,16V_GEN
GND_SIGNAL               C37              1        CAPCERSMDCL2_0402-100NF,16V_GEN
GND_SIGNAL               C38              1        CAPCERSMDCL2_0402-100NF,16V_GEN
GND_SIGNAL               C39              1        CAPCERSMDCL2_0603-10UF,6.3V
GND_SIGNAL               C3_1             1        CAPCERSMDCL2_0402-100NF,16V_GEN
GND_SIGNAL               C3_1_1           1        CAPCERSMDCL2_0603-100NF,16V
